rank,needs,theme,region,votes,counterparts,perc,check,times_selected
2,Trained staff applying knowledge acquired,Industrial Applications/Radiation technology,Latin America and the Caribbean,18,53,33.9622641509434,100,39
2,Equipment properly maintained,Health and Nutrition,Africa,68,203,33.4975369458128,100,145
2,Equipment properly maintained,Water and the Environment,Africa,28,86,32.5581395348837,100,59
2,Trained staff applying knowledge acquired,Food and Agriculture,Asia and the Pacific,47,151,31.1258278145695,100,111
2,Equipment properly maintained,Water and the Environment,Europe,18,58,31.0344827586207,100,37
2,Trained staff applying knowledge acquired,Water and the Environment,Europe,18,58,31.0344827586207,100,48
2,Equipment properly maintained,Food and Agriculture,Africa,58,194,29.8969072164948,100,129
2,Trained staff applying knowledge acquired,Health and Nutrition,Latin America and the Caribbean,51,171,29.8245614035088,100,121
2,Equipment properly maintained,Safety and Security,Africa,58,198,29.2929292929293,100,135
2,Equipment properly maintained,Industrial Applications/Radiation technology,Europe,12,41,29.2682926829268,100,29
2,Trained staff applying knowledge acquired,Water and the Environment,Latin America and the Caribbean,28,98,28.5714285714286,100,63
2,Equipment properly maintained,Food and Agriculture,Latin America and the Caribbean,34,121,28.099173553719,100,56
2,Equipment properly maintained,Food and Agriculture,Europe,15,54,27.7777777777778,100,32
2,Equipment properly maintained,Water and the Environment,Asia and the Pacific,21,76,27.6315789473684,100,47
2,Trained staff remain in the institution,Energy,Latin America and the Caribbean,8,29,27.5862068965517,100,18
2,Equipment properly maintained,Industrial Applications/Radiation technology,Africa,21,79,26.5822784810127,100,50
2,Equipment properly maintained,Food and Agriculture,Asia and the Pacific,37,151,24.5033112582781,100,83
2,Appropriate operational funding,Energy,Latin America and the Caribbean,7,29,24.1379310344828,100,14
2,Trained staff applying knowledge acquired,Energy,Latin America and the Caribbean,7,29,24.1379310344828,100,25
2,Trained staff applying knowledge acquired,Food and Agriculture,Europe,13,54,24.0740740740741,100,38
2,Equipment properly maintained,Health and Nutrition,Latin America and the Caribbean,40,171,23.3918128654971,100,94
2,Appropriate operational funding,Food and Agriculture,Asia and the Pacific,35,151,23.1788079470199,100,101
2,Equipment properly maintained,Safety and Security,Europe,41,178,23.0337078651685,100,93
2,Equipment properly maintained,Industrial Applications/Radiation technology,Latin America and the Caribbean,12,53,22.6415094339623,100,32
2,Equipment properly maintained,Energy,Asia and the Pacific,7,31,22.5806451612903,100,12
2,Appropriate operational funding,Industrial Applications/Radiation technology,Asia and the Pacific,19,85,22.3529411764706,100,41
2,Trained staff remain in the institution,Food and Agriculture,Europe,12,54,22.2222222222222,100,36
2,Technology relevant to country priorities,Energy,Europe,11,50,22,100,29
2,Equipment properly maintained,Health and Nutrition,Asia and the Pacific,34,157,21.656050955414,100,76
2,Appropriate operational funding,Safety and Security,Asia and the Pacific,23,109,21.1009174311927,100,63
2,Technology relevant to country priorities,Energy,Latin America and the Caribbean,6,29,20.6896551724138,100,14
2,Appropriate operational funding,Energy,Europe,10,50,20,100,22
2,Appropriate operational funding,Water and the Environment,Latin America and the Caribbean,19,98,19.3877551020408,100,61
2,Equipment properly maintained,Health and Nutrition,Europe,23,119,19.327731092437,100,66
2,Equipment properly maintained,Industrial Applications/Radiation technology,Asia and the Pacific,16,85,18.8235294117647,100,47
2,Technology relevant to country priorities,Health and Nutrition,Latin America and the Caribbean,32,171,18.7134502923977,100,105
2,Equipment properly maintained,Safety and Security,Asia and the Pacific,20,109,18.348623853211,100,54
2,Appropriate operational funding,Water and the Environment,Asia and the Pacific,13,76,17.1052631578947,100,50
2,Technology relevant to country priorities,Industrial Applications/Radiation technology,Europe,7,41,17.0731707317073,100,18
2,Equipment properly maintained,Safety and Security,Latin America and the Caribbean,15,88,17.0454545454545,100,44
2,Appropriate operational funding,Food and Agriculture,Latin America and the Caribbean,20,121,16.5289256198347,100,60
2,Technology relevant to country priorities,Energy,Africa,11,67,16.4179104477612,100,33
2,Appropriate operational funding,Safety and Security,Europe,29,178,16.2921348314607,100,81
2,Trained staff remain in the institution,Health and Nutrition,Europe,19,119,15.9663865546218,100,81
2,Appropriate operational funding,Health and Nutrition,Latin America and the Caribbean,27,171,15.7894736842105,100,67
2,Technology relevant to country priorities,Health and Nutrition,Asia and the Pacific,24,157,15.2866242038217,100,85
2,Technology relevant to country priorities,Food and Agriculture,Asia and the Pacific,23,151,15.2317880794702,100,76
2,Appropriate operational funding,Health and Nutrition,Europe,18,119,15.1260504201681,100,48
2,Appropriate operational funding,Water and the Environment,Africa,13,86,15.1162790697674,100,44
2,Trained staff remain in the institution,Industrial Applications/Radiation technology,Latin America and the Caribbean,8,53,15.0943396226415,100,33
2,Appropriate operational funding,Food and Agriculture,Africa,29,194,14.9484536082474,100,112
2,Appropriate operational funding,Health and Nutrition,Asia and the Pacific,23,157,14.6496815286624,100,80
2,Appropriate operational funding,Health and Nutrition,Africa,29,203,14.2857142857143,100,98
2,Trained staff remain in the institution,Energy,Europe,7,50,14,100,38
2,Trained staff remain in the institution,Water and the Environment,Europe,8,58,13.7931034482759,100,40
2,Trained staff remain in the institution,Safety and Security,Latin America and the Caribbean,12,88,13.6363636363636,100,62
2,Appropriate operational funding,Energy,Africa,9,67,13.4328358208955,100,37
2,Appropriate operational funding,Industrial Applications/Radiation technology,Latin America and the Caribbean,7,53,13.2075471698113,100,24
2,Technology relevant to country priorities,Industrial Applications/Radiation technology,Latin America and the Caribbean,7,53,13.2075471698113,100,26
2,Appropriate operational funding,Food and Agriculture,Europe,7,54,12.962962962963,100,30
2,Technology relevant to country priorities,Food and Agriculture,Europe,7,54,12.962962962963,100,24
2,Technology relevant to country priorities,Industrial Applications/Radiation technology,Asia and the Pacific,11,85,12.9411764705882,100,50
2,Technology relevant to country priorities,Energy,Asia and the Pacific,4,31,12.9032258064516,100,18
2,Technology relevant to country priorities,Food and Agriculture,Africa,25,194,12.8865979381443,100,76
2,Appropriate operational funding,Industrial Applications/Radiation technology,Africa,10,79,12.6582278481013,100,31
2,Appropriate operational funding,Water and the Environment,Europe,7,58,12.0689655172414,100,32
2,Technology relevant to country priorities,Water and the Environment,Europe,7,58,12.0689655172414,100,17
2,Equipment properly maintained,Energy,Africa,8,67,11.9402985074627,100,22
2,Technology relevant to country priorities,Safety and Security,Asia and the Pacific,13,109,11.9266055045872,100,48
2,Trained staff remain in the institution,Health and Nutrition,Latin America and the Caribbean,20,171,11.6959064327485,100,111
2,Technology relevant to country priorities,Water and the Environment,Africa,10,86,11.6279069767442,100,43
2,Trained staff remain in the institution,Safety and Security,Asia and the Pacific,12,109,11.0091743119266,100,71
2,Technology relevant to country priorities,Health and Nutrition,Europe,13,119,10.9243697478992,100,56
2,Technology relevant to country priorities,Food and Agriculture,Latin America and the Caribbean,13,121,10.7438016528926,100,68
2,Appropriate operational funding,Safety and Security,Africa,21,198,10.6060606060606,100,81
2,Technology relevant to country priorities,Water and the Environment,Asia and the Pacific,8,76,10.5263157894737,100,33
2,Appropriate operational funding,Safety and Security,Latin America and the Caribbean,9,88,10.2272727272727,100,34
2,Technology relevant to country priorities,Safety and Security,Latin America and the Caribbean,9,88,10.2272727272727,100,46
2,Trained staff remain in the institution,Water and the Environment,Latin America and the Caribbean,10,98,10.2040816326531,100,63
2,Trained staff remain in the institution,Health and Nutrition,Asia and the Pacific,16,157,10.1910828025478,100,94
2,Technology relevant to country priorities,Industrial Applications/Radiation technology,Africa,8,79,10.126582278481,100,45
2,Technology relevant to country priorities,Safety and Security,Europe,18,178,10.1123595505618,100,80
2,Appropriate operational funding,Industrial Applications/Radiation technology,Europe,4,41,9.75609756097561,100,13
2,Trained staff remain in the institution,Industrial Applications/Radiation technology,Europe,4,41,9.75609756097561,100,27
2,Trained staff remain in the institution,Energy,Asia and the Pacific,3,31,9.67741935483871,100,24
2,Trained staff remain in the institution,Safety and Security,Africa,19,198,9.5959595959596,100,140
2,Technology relevant to country priorities,Health and Nutrition,Africa,19,203,9.35960591133005,100,89
2,Technology relevant to country priorities,Safety and Security,Africa,18,198,9.09090909090909,100,78
2,Trained staff remain in the institution,Safety and Security,Europe,16,178,8.98876404494382,100,132
2,Trained staff remain in the institution,Energy,Africa,6,67,8.95522388059701,100,53
2,Trained staff remain in the institution,Food and Agriculture,Latin America and the Caribbean,10,121,8.26446280991736,100,79
2,Trained staff remain in the institution,Health and Nutrition,Africa,16,203,7.88177339901478,100,121
2,Trained staff remain in the institution,Industrial Applications/Radiation technology,Asia and the Pacific,6,85,7.05882352941176,100,47
2,Trained staff remain in the institution,Food and Agriculture,Africa,13,194,6.70103092783505,100,106
2,Appropriate operational funding,Energy,Asia and the Pacific,2,31,6.45161290322581,100,14
2,Trained staff remain in the institution,Food and Agriculture,Asia and the Pacific,9,151,5.96026490066225,100,83
2,Technology relevant to country priorities,Water and the Environment,Latin America and the Caribbean,5,98,5.10204081632653,100,35
2,Trained staff remain in the institution,Water and the Environment,Africa,4,86,4.65116279069768,100,51
2,Equipment properly maintained,Energy,Europe,2,50,4,100,11
2,Trained staff remain in the institution,Water and the Environment,Asia and the Pacific,3,76,3.94736842105263,100,38
2,Equipment properly maintained,Energy,Latin America and the Caribbean,1,29,3.44827586206897,100,9
2,Trained staff remain in the institution,Industrial Applications/Radiation technology,Africa,2,79,2.53164556962025,100,49
2,Others,Energy,Europe,1,50,2,100,3
2,Others,Industrial Applications/Radiation technology,Latin America and the Caribbean,1,53,1.88679245283019,100,6
2,Others,Energy,Africa,1,67,1.49253731343284,100,4
2,Others,Water and the Environment,Africa,1,86,1.16279069767442,100,2
2,Others,Safety and Security,Europe,2,178,1.12359550561798,100,9
2,Others,Food and Agriculture,Africa,2,194,1.03092783505155,100,6
2,Others,Water and the Environment,Latin America and the Caribbean,1,98,1.02040816326531,100,5
2,Others,Health and Nutrition,Europe,1,119,0.840336134453782,100,3
2,Others,Health and Nutrition,Asia and the Pacific,1,157,0.636942675159236,100,5
2,Others,Health and Nutrition,Latin America and the Caribbean,1,171,0.584795321637427,100,8
2,Others,Health and Nutrition,Africa,1,203,0.492610837438424,100,5
3,Appropriate operational funding,Energy,Asia and the Pacific,11,29,37.9310344827586,100,14
3,Equipment properly maintained,Industrial Applications/Radiation technology,Europe,14,37,37.8378378378378,100,29
3,Technology relevant to country priorities,Food and Agriculture,Latin America and the Caribbean,42,116,36.2068965517241,100,68
3,Technology relevant to country priorities,Industrial Applications/Radiation technology,Africa,27,77,35.0649350649351,100,45
3,Appropriate operational funding,Energy,Africa,22,63,34.9206349206349,100,37
3,Technology relevant to country priorities,Safety and Security,Latin America and the Caribbean,28,84,33.3333333333333,100,46
3,Appropriate operational funding,Water and the Environment,Europe,18,56,32.1428571428572,100,32
3,Equipment properly maintained,Industrial Applications/Radiation technology,Latin America and the Caribbean,16,50,32,100,32
3,Technology relevant to country priorities,Energy,Asia and the Pacific,9,29,31.0344827586207,100,18
3,Equipment properly maintained,Safety and Security,Africa,59,191,30.8900523560209,100,135
3,Appropriate operational funding,Food and Agriculture,Europe,16,52,30.7692307692308,100,30
3,Appropriate operational funding,Water and the Environment,Asia and the Pacific,22,73,30.1369863013699,100,50
3,Appropriate operational funding,Safety and Security,Asia and the Pacific,31,103,30.0970873786408,100,63
3,Technology relevant to country priorities,Energy,Latin America and the Caribbean,8,27,29.6296296296296,100,14
3,Technology relevant to country priorities,Health and Nutrition,Latin America and the Caribbean,47,159,29.559748427673,100,105
3,Technology relevant to country priorities,Industrial Applications/Radiation technology,Asia and the Pacific,24,82,29.2682926829268,100,50
3,Appropriate operational funding,Water and the Environment,Africa,24,83,28.9156626506024,100,44
3,Appropriate operational funding,Food and Agriculture,Africa,53,184,28.804347826087,100,112
3,Appropriate operational funding,Health and Nutrition,Asia and the Pacific,42,150,28,100,80
3,Appropriate operational funding,Water and the Environment,Latin America and the Caribbean,26,93,27.9569892473118,100,61
3,Appropriate operational funding,Food and Agriculture,Asia and the Pacific,41,147,27.891156462585,100,101
3,Technology relevant to country priorities,Energy,Europe,12,44,27.2727272727273,100,29
3,Technology relevant to country priorities,Safety and Security,Europe,45,168,26.7857142857143,100,80
3,Technology relevant to country priorities,Food and Agriculture,Asia and the Pacific,39,147,26.530612244898,100,76
3,Appropriate operational funding,Safety and Security,Europe,44,168,26.1904761904762,100,81
3,Technology relevant to country priorities,Health and Nutrition,Africa,52,199,26.1306532663317,100,89
3,Equipment properly maintained,Water and the Environment,Asia and the Pacific,19,73,26.027397260274,100,47
3,Equipment properly maintained,Industrial Applications/Radiation technology,Asia and the Pacific,21,82,25.609756097561,100,47
3,Technology relevant to country priorities,Health and Nutrition,Asia and the Pacific,38,150,25.3333333333333,100,85
3,Equipment properly maintained,Safety and Security,Asia and the Pacific,26,103,25.2427184466019,100,54
3,Equipment properly maintained,Health and Nutrition,Africa,50,199,25.1256281407035,100,145
3,Equipment properly maintained,Water and the Environment,Latin America and the Caribbean,23,93,24.7311827956989,100,66
3,Equipment properly maintained,Industrial Applications/Radiation technology,Africa,19,77,24.6753246753247,100,50
3,Equipment properly maintained,Safety and Security,Europe,41,168,24.4047619047619,100,93
3,Appropriate operational funding,Health and Nutrition,Europe,27,112,24.1071428571429,100,48
3,Equipment properly maintained,Health and Nutrition,Europe,27,112,24.1071428571429,100,66
3,Technology relevant to country priorities,Health and Nutrition,Europe,27,112,24.1071428571429,100,56
3,Equipment properly maintained,Water and the Environment,Africa,20,83,24.0963855421687,100,59
3,Appropriate operational funding,Industrial Applications/Radiation technology,Latin America and the Caribbean,12,50,24,100,24
3,Equipment properly maintained,Health and Nutrition,Asia and the Pacific,36,150,24,100,76
3,Appropriate operational funding,Health and Nutrition,Africa,47,199,23.6180904522613,100,98
3,Technology relevant to country priorities,Safety and Security,Africa,45,191,23.5602094240838,100,78
3,Equipment properly maintained,Water and the Environment,Europe,13,56,23.2142857142857,100,37
3,Trained staff applying knowledge acquired,Water and the Environment,Europe,13,56,23.2142857142857,100,48
3,Technology relevant to country priorities,Food and Agriculture,Europe,12,52,23.0769230769231,100,24
3,Trained staff applying knowledge acquired,Energy,Europe,10,44,22.7272727272727,100,43
3,Technology relevant to country priorities,Safety and Security,Asia and the Pacific,23,103,22.3300970873786,100,48
3,Equipment properly maintained,Food and Agriculture,Africa,41,184,22.2826086956522,100,129
3,Equipment properly maintained,Energy,Latin America and the Caribbean,6,27,22.2222222222222,100,9
3,Technology relevant to country priorities,Energy,Africa,14,63,22.2222222222222,100,33
3,Technology relevant to country priorities,Industrial Applications/Radiation technology,Latin America and the Caribbean,11,50,22,100,26
