interview__id,theme,dev_reason,region,foa,improvement,tcp_contribution,period,value,status,shrinked
17550473cbee4c6d90ac6f57e38483b7,Safety and Security,,Latin America and the Caribbean,"Radioactive waste management, decommissioning and environmental remediation","Effective radioactive waste management, decommissioning and remediation of contaminated sites.",,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
17550473cbee4c6d90ac6f57e38483b7,Safety and Security,,Latin America and the Caribbean,"Radioactive waste management, decommissioning and environmental remediation","Effective radioactive waste management, decommissioning and remediation of contaminated sites.",,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
1d2d8fd663b84d92b8920b14d6f7ad47,Food and Agriculture,,Asia and the Pacific,Livestock production,Sustainable animal production/livestock productivity,1.To some extent,Before TCP,No capacity,0.No Capacity,Improved
1d2d8fd663b84d92b8920b14d6f7ad47,Food and Agriculture,,Asia and the Pacific,Livestock production,Sustainable animal production/livestock productivity,1.To some extent,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
2217c9dcd1734e07a8ea646b25e9ef16,Food and Agriculture,,Africa,Crop production,Crops with increased productivity and/or climate resilience properties,1.To some extent,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
2217c9dcd1734e07a8ea646b25e9ef16,Food and Agriculture,,Africa,Crop production,Crops with increased productivity and/or climate resilience properties,1.To some extent,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
263545307d094dde9606fe4a60c70ba7,Health and Nutrition,,Asia and the Pacific,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
263545307d094dde9606fe4a60c70ba7,Health and Nutrition,,Asia and the Pacific,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
263545307d094dde9606fe4a60c70ba7,Health and Nutrition,,Asia and the Pacific,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
263545307d094dde9606fe4a60c70ba7,Health and Nutrition,,Asia and the Pacific,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
292cb0386d7f47758e90748c3a05b647,Safety and Security,,Africa,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
292cb0386d7f47758e90748c3a05b647,Safety and Security,,Africa,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
292cb0386d7f47758e90748c3a05b647,Safety and Security,,Africa,Emergency preparednes and response,Effective emergency preparedness & response,2.Contributed substantially,Before TCP,No capacity,0.No Capacity,Improved
292cb0386d7f47758e90748c3a05b647,Safety and Security,,Africa,Emergency preparednes and response,Effective emergency preparedness & response,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
2b4bff57eb304ccdbb76818cff4d9e17,Energy,,Africa,Energy planning,Energy planning and inform policies to meet future energy needs,3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
2b4bff57eb304ccdbb76818cff4d9e17,Energy,,Africa,Energy planning,Energy planning and inform policies to meet future energy needs,3.Impossible without TCP,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
2b732c59ad544463975e6db7dbef544e,Health and Nutrition,,Europe,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,1.To some extent,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
2b732c59ad544463975e6db7dbef544e,Health and Nutrition,,Europe,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,1.To some extent,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
2d2b3bddfb2f46b5999aab71c7a24c00,Health and Nutrition,,Africa,Nutrition for improved health,Effective evidenced-based nutrition programming,,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
2d2b3bddfb2f46b5999aab71c7a24c00,Health and Nutrition,,Africa,Nutrition for improved health,Effective evidenced-based nutrition programming,,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
317c793aee4c4e7ca8b23273aac76174,Health and Nutrition,,Asia and the Pacific,Nutrition for improved health,Effective evidenced-based nutrition programming,2.Contributed substantially,Before TCP,No capacity,0.No Capacity,Improved
317c793aee4c4e7ca8b23273aac76174,Health and Nutrition,,Asia and the Pacific,Nutrition for improved health,Effective evidenced-based nutrition programming,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
3255a76f247a43bc8dbe74ba10f1ad66,Food and Agriculture,,Africa,Crop production,Crops with increased productivity and/or climate resilience properties,3.Impossible without TCP,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
3255a76f247a43bc8dbe74ba10f1ad66,Food and Agriculture,,Africa,Crop production,Crops with increased productivity and/or climate resilience properties,3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
3255a76f247a43bc8dbe74ba10f1ad66,Food and Agriculture,,Africa,Agricultural water and soil management,"Sustainable, soil and water management practices for agriculture",,Before TCP,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
3255a76f247a43bc8dbe74ba10f1ad66,Food and Agriculture,,Africa,Agricultural water and soil management,"Sustainable, soil and water management practices for agriculture",,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
08d33bb201ff4fab86e5ebdf8aee0968,Food and Agriculture,,Asia and the Pacific,Food safety,Food safety and quality control,,Before TCP,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
08d33bb201ff4fab86e5ebdf8aee0968,Food and Agriculture,,Asia and the Pacific,Food safety,Food safety and quality control,,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
3d73382e770f4c3fb0b9c197e573d527,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Reference products for science and trade,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
3d73382e770f4c3fb0b9c197e573d527,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Reference products for science and trade,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
3e7b445a3251434cb65e58a0d5afd0bb,Safety and Security,,Africa,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
3e7b445a3251434cb65e58a0d5afd0bb,Safety and Security,,Africa,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
3e7b445a3251434cb65e58a0d5afd0bb,Safety and Security,,Africa,Emergency preparednes and response,Effective emergency preparedness & response,,Before TCP,No capacity,0.No Capacity,Improved
3e7b445a3251434cb65e58a0d5afd0bb,Safety and Security,,Africa,Emergency preparednes and response,Effective emergency preparedness & response,,2023,No capacity,0.No Capacity,Improved
3f102e17251c48e784862e683523ce08,Water and the Environment,,Europe,Water resources management,Sustainable water resources management,3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
3f102e17251c48e784862e683523ce08,Water and the Environment,,Europe,Water resources management,Sustainable water resources management,3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
45c1e1924bea470298d4e7af07914338,Food and Agriculture,Other,Latin America and the Caribbean,Livestock production,Sustainable animal production/livestock productivity,,Before TCP,Services/procedure/programme undergoing EXPANSION,3.Expansion,Shrinked
45c1e1924bea470298d4e7af07914338,Food and Agriculture,Other,Latin America and the Caribbean,Livestock production,Sustainable animal production/livestock productivity,,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Shrinked
45c1e1924bea470298d4e7af07914338,Food and Agriculture,,Latin America and the Caribbean,Insect pest control,Detection and control of major insect pests of Agricultural and Veterinary importance,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
45c1e1924bea470298d4e7af07914338,Food and Agriculture,,Latin America and the Caribbean,Insect pest control,Detection and control of major insect pests of Agricultural and Veterinary importance,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
484e37cfd4d3467cb5906aa8fa1cb324,Water and the Environment,Lack of TCP support,Africa,Water resources management,Sustainable water resources management,,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Shrinked
484e37cfd4d3467cb5906aa8fa1cb324,Water and the Environment,Lack of TCP support,Africa,Water resources management,Sustainable water resources management,,2023,No capacity,0.No Capacity,Shrinked
484e37cfd4d3467cb5906aa8fa1cb324,Water and the Environment,,Africa,"Marine, terrestrial and coastal environments","Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",,Before TCP,No capacity,0.No Capacity,Improved
484e37cfd4d3467cb5906aa8fa1cb324,Water and the Environment,,Africa,"Marine, terrestrial and coastal environments","Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",,2023,No capacity,0.No Capacity,Improved
5451e7ff32f1430faff4bfafb379771a,Health and Nutrition,Lack of funding for operational inputs,Latin America and the Caribbean,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Shrinked
5451e7ff32f1430faff4bfafb379771a,Health and Nutrition,Lack of funding for operational inputs,Latin America and the Caribbean,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,,2023,No capacity,0.No Capacity,Shrinked
569256a09e9b4dd1b4a464b51bc65300,Safety and Security,,Africa,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
569256a09e9b4dd1b4a464b51bc65300,Safety and Security,,Africa,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
569256a09e9b4dd1b4a464b51bc65300,Safety and Security,,Africa,Safety of nuclear installations,Nuclear installations and fuel cycle facilities safety,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
569256a09e9b4dd1b4a464b51bc65300,Safety and Security,,Africa,Safety of nuclear installations,Nuclear installations and fuel cycle facilities safety,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
57275b675cde44e7a169e5e6838902d8,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
57275b675cde44e7a169e5e6838902d8,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
57275b675cde44e7a169e5e6838902d8,Health and Nutrition,,Africa,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
57275b675cde44e7a169e5e6838902d8,Health and Nutrition,,Africa,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
66369c56f3194dc1ad69ffa360d3d3b2,Water and the Environment,,Europe,Water resources management,Sustainable water resources management,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
66369c56f3194dc1ad69ffa360d3d3b2,Water and the Environment,,Europe,Water resources management,Sustainable water resources management,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
6b925783cee64a4d9c950b575367da1a,Safety and Security,,Africa,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,2.Contributed substantially,Before TCP,No capacity,0.No Capacity,Improved
6b925783cee64a4d9c950b575367da1a,Safety and Security,,Africa,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
6f83712f044d4befb4e15ff0a2fcefaf,Safety and Security,,Europe,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",,Before TCP,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
6f83712f044d4befb4e15ff0a2fcefaf,Safety and Security,,Europe,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
7603832395494ccd8200722222c53081,Food and Agriculture,,Latin America and the Caribbean,Livestock production,Sustainable animal production/livestock productivity,,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
7603832395494ccd8200722222c53081,Food and Agriculture,,Latin America and the Caribbean,Livestock production,Sustainable animal production/livestock productivity,,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
767cfd283b454fafad256b48ed4e324c,Health and Nutrition,,Latin America and the Caribbean,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
767cfd283b454fafad256b48ed4e324c,Health and Nutrition,,Latin America and the Caribbean,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
767cfd283b454fafad256b48ed4e324c,Health and Nutrition,,Latin America and the Caribbean,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2.Contributed substantially,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
767cfd283b454fafad256b48ed4e324c,Health and Nutrition,,Latin America and the Caribbean,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
776d9f42ea13478698e668f3c45a6c61,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
776d9f42ea13478698e668f3c45a6c61,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
776d9f42ea13478698e668f3c45a6c61,Health and Nutrition,,Africa,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
776d9f42ea13478698e668f3c45a6c61,Health and Nutrition,,Africa,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,2.Contributed substantially,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
7b9487d745944ccb9bc8eb94b3084963,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
7b9487d745944ccb9bc8eb94b3084963,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
7df695a6f5044857bedf723ca282641a,Health and Nutrition,,Latin America and the Caribbean,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,1.To some extent,Before TCP,No capacity,0.No Capacity,Improved
7df695a6f5044857bedf723ca282641a,Health and Nutrition,,Latin America and the Caribbean,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,1.To some extent,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
86a192f2b20543c081ab01d3344bb510,Health and Nutrition,,Europe,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,3.Impossible without TCP,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
86a192f2b20543c081ab01d3344bb510,Health and Nutrition,,Europe,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
875a0a32780f4cfcb15deb89eb30976f,Safety and Security,,Africa,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",,Before TCP,No capacity,0.No Capacity,Improved
875a0a32780f4cfcb15deb89eb30976f,Safety and Security,,Africa,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",,2023,No capacity,0.No Capacity,Improved
8a339f28d18545b994f54f0a8f5445bc,Health and Nutrition,,Latin America and the Caribbean,Nutrition for improved health,Effective evidenced-based nutrition programming,,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
8a339f28d18545b994f54f0a8f5445bc,Health and Nutrition,,Latin America and the Caribbean,Nutrition for improved health,Effective evidenced-based nutrition programming,,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
8a3d9c122430480d8bb6085e6c11a1fc,Water and the Environment,,Europe,Water resources management,Sustainable water resources management,3.Impossible without TCP,Before TCP,No capacity,0.No Capacity,Improved
8a3d9c122430480d8bb6085e6c11a1fc,Water and the Environment,,Europe,Water resources management,Sustainable water resources management,3.Impossible without TCP,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
8a3d9c122430480d8bb6085e6c11a1fc,Water and the Environment,,Europe,"Marine, terrestrial and coastal environments","Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
8a3d9c122430480d8bb6085e6c11a1fc,Water and the Environment,,Europe,"Marine, terrestrial and coastal environments","Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
90bc15b7f7ef4e67ae68bc65d6c9dc2b,Health and Nutrition,,Latin America and the Caribbean,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,1.To some extent,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
90bc15b7f7ef4e67ae68bc65d6c9dc2b,Health and Nutrition,,Latin America and the Caribbean,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,1.To some extent,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
97efe8a444ae47c2987576ced21f1478,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,,Before TCP,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
97efe8a444ae47c2987576ced21f1478,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
9c37c9c76a3847c5b640436ee58c7f51,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Accelerator technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",3.Impossible without TCP,Before TCP,No capacity,0.No Capacity,Improved
9c37c9c76a3847c5b640436ee58c7f51,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Accelerator technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",3.Impossible without TCP,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
a1fc860efb5e4fd1bb3e94ec966a4094,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Reference products for science and trade,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
a1fc860efb5e4fd1bb3e94ec966a4094,Industrial Applications/Radiation technology,,Latin America and the Caribbean,Reference products for science and trade,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
a4e3b0757c2a49958cc5cf23038dd76b,Health and Nutrition,,Europe,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,3.Impossible without TCP,Before TCP,No capacity,0.No Capacity,Improved
a4e3b0757c2a49958cc5cf23038dd76b,Health and Nutrition,,Europe,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,3.Impossible without TCP,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
a4e3b0757c2a49958cc5cf23038dd76b,Health and Nutrition,,Europe,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,3.Impossible without TCP,Before TCP,No capacity,0.No Capacity,Improved
a4e3b0757c2a49958cc5cf23038dd76b,Health and Nutrition,,Europe,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
af556d323d104946a571d4b84fba7e94,Health and Nutrition,,Latin America and the Caribbean,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,,Before TCP,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
af556d323d104946a571d4b84fba7e94,Health and Nutrition,,Latin America and the Caribbean,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
b15fad599b8f4d4e8d97ac13f9db057a,Safety and Security,,Europe,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
b15fad599b8f4d4e8d97ac13f9db057a,Safety and Security,,Europe,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
b15fad599b8f4d4e8d97ac13f9db057a,Safety and Security,,Europe,Safety of nuclear installations,Nuclear installations and fuel cycle facilities safety,3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
b15fad599b8f4d4e8d97ac13f9db057a,Safety and Security,,Europe,Safety of nuclear installations,Nuclear installations and fuel cycle facilities safety,3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
b1dd11715bd54cc892c3d1baa8931b10,Food and Agriculture,,Africa,Crop production,Crops with increased productivity and/or climate resilience properties,,Before TCP,Services/procedure/programme OPERATIONAL,2.Operational,Improved
b1dd11715bd54cc892c3d1baa8931b10,Food and Agriculture,,Africa,Crop production,Crops with increased productivity and/or climate resilience properties,,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
b3c35c53324d4e0f80fc13cf804a99b1,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,3.Impossible without TCP,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
b3c35c53324d4e0f80fc13cf804a99b1,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,3.Impossible without TCP,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
b3c35c53324d4e0f80fc13cf804a99b1,Health and Nutrition,,Africa,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,3.Impossible without TCP,Before TCP,No capacity,0.No Capacity,Improved
b3c35c53324d4e0f80fc13cf804a99b1,Health and Nutrition,,Africa,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,3.Impossible without TCP,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
b7a55a3b409741c38ba7b696fcad0185,Food and Agriculture,,Africa,Livestock production,Sustainable animal production/livestock productivity,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
b7a55a3b409741c38ba7b696fcad0185,Food and Agriculture,,Africa,Livestock production,Sustainable animal production/livestock productivity,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
