country,theme,foa,outcome,int_outcome,when_outcome,when_int_outcome,achieved_outcome,region,improvement,foa_nlo1_effectiveness,achieved_int_outcome
Afghanistan,Food and Agriculture,Crop production,Increased used of new technologies,Introduce new technologies,< 2000,< 2000,1,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,1
Afghanistan,Food and Agriculture,Crop production,New profession recognized,Curricula in new professions,< 2000,2005-2009,1,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,1
Afghanistan,Food and Agriculture,Crop production,Use of data to inform policies,Produce data to inform policies,2000-2004,2005-2009,1,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,1
Afghanistan,Food and Agriculture,Insect pest control,Adoption of regulatory frameworks,Develop regulatory frameworks,< 2000,< 2000,1,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,1
Afghanistan,Food and Agriculture,Insect pest control,Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,1
Afghanistan,Food and Agriculture,Insect pest control,Increased used of new technologies,Introduce new technologies,< 2000,< 2000,1,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,1
Afghanistan,Food and Agriculture,Insect pest control,New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,1
Afghanistan,Food and Agriculture,Insect pest control,Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,1
Afghanistan,Food and Agriculture,Food safety,Adoption of regulatory frameworks,Develop regulatory frameworks,< 2000,< 2000,1,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,1
Afghanistan,Food and Agriculture,Food safety,Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,1
Afghanistan,Food and Agriculture,Food safety,Increased used of new technologies,Introduce new technologies,< 2000,< 2000,1,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,1
Afghanistan,Food and Agriculture,Food safety,New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,1
Afghanistan,Food and Agriculture,Food safety,Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,1
Afghanistan,Food and Agriculture,Livestock production,Adoption of regulatory frameworks,Develop regulatory frameworks,< 2000,< 2000,1,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,1
Afghanistan,Food and Agriculture,Livestock production,Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,1
Afghanistan,Food and Agriculture,Livestock production,Increased used of new technologies,Introduce new technologies,< 2000,< 2000,1,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,1
Afghanistan,Food and Agriculture,Livestock production,New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,1
Afghanistan,Food and Agriculture,Livestock production,Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,1
Afghanistan,Food and Agriculture,Agricultural water and soil management,Adoption of regulatory frameworks,Develop regulatory frameworks,< 2000,< 2000,1,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,1
Afghanistan,Food and Agriculture,Agricultural water and soil management,Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,1
Afghanistan,Food and Agriculture,Agricultural water and soil management,Increased used of new technologies,Introduce new technologies,< 2000,< 2000,1,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,1
Afghanistan,Food and Agriculture,Agricultural water and soil management,New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,1
Afghanistan,Food and Agriculture,Agricultural water and soil management,Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,1
Afghanistan,Health and Nutrition,Insect pest control,Adoption of regulatory frameworks,Develop regulatory frameworks,< 2000,< 2000,1,Asia and the Pacific,Detection and control of major insect pests including zoonotic diseases affecting Human health,Detection and control of major insect pests including zoonotic diseases affecting human health,1
Afghanistan,Health and Nutrition,Insect pest control,Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,Detection and control of major insect pests including zoonotic diseases affecting Human health,Detection and control of major insect pests including zoonotic diseases affecting human health,1
Afghanistan,Health and Nutrition,Insect pest control,Increased used of new technologies,Introduce new technologies,< 2000,< 2000,1,Asia and the Pacific,Detection and control of major insect pests including zoonotic diseases affecting Human health,Detection and control of major insect pests including zoonotic diseases affecting human health,1
Afghanistan,Health and Nutrition,Insect pest control,New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,Detection and control of major insect pests including zoonotic diseases affecting Human health,Detection and control of major insect pests including zoonotic diseases affecting human health,1
Afghanistan,Health and Nutrition,Insect pest control,Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,Detection and control of major insect pests including zoonotic diseases affecting Human health,Detection and control of major insect pests including zoonotic diseases affecting human health,1
Afghanistan,Health and Nutrition,Nutrition for improved health,Adoption of regulatory frameworks,Develop regulatory frameworks,< 2000,< 2000,1,Asia and the Pacific,Effective evidenced-based nutrition programming,Effectiveness of nutrition programmes interventions,1
Afghanistan,Health and Nutrition,Nutrition for improved health,Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,Effective evidenced-based nutrition programming,Effectiveness of nutrition programmes interventions,1
Afghanistan,Health and Nutrition,Nutrition for improved health,Increased used of new technologies,Introduce new technologies,< 2000,< 2000,1,Asia and the Pacific,Effective evidenced-based nutrition programming,Effectiveness of nutrition programmes interventions,1
Afghanistan,Health and Nutrition,Nutrition for improved health,New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,Effective evidenced-based nutrition programming,Effectiveness of nutrition programmes interventions,1
Afghanistan,Health and Nutrition,Nutrition for improved health,Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,Effective evidenced-based nutrition programming,Effectiveness of nutrition programmes interventions,1
Afghanistan,Health and Nutrition,Radioisotope and radiopharmaceuticals production for medical applications,Adoption of regulatory frameworks,Develop regulatory frameworks,< 2000,< 2000,1,Asia and the Pacific,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,1
Afghanistan,Health and Nutrition,Radioisotope and radiopharmaceuticals production for medical applications,Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,1
Afghanistan,Health and Nutrition,Radioisotope and radiopharmaceuticals production for medical applications,Increased used of new technologies,Introduce new technologies,< 2000,< 2000,1,Asia and the Pacific,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,1
Afghanistan,Health and Nutrition,Radioisotope and radiopharmaceuticals production for medical applications,New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,1
Afghanistan,Health and Nutrition,Radioisotope and radiopharmaceuticals production for medical applications,Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,1
Afghanistan,Health and Nutrition,Nuclear medicine and diagnostic imaging,Adoption of regulatory frameworks,Develop regulatory frameworks,< 2000,< 2000,1,Asia and the Pacific,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations,1
Afghanistan,Health and Nutrition,Nuclear medicine and diagnostic imaging,Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations,1
Afghanistan,Health and Nutrition,Nuclear medicine and diagnostic imaging,Increased used of new technologies,Introduce new technologies,< 2000,< 2000,1,Asia and the Pacific,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations,1
Afghanistan,Health and Nutrition,Nuclear medicine and diagnostic imaging,New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations,1
Afghanistan,Health and Nutrition,Nuclear medicine and diagnostic imaging,Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations,1
Afghanistan,Industrial Applications/Radiation technology,Accelerator technology,Adoption of regulatory frameworks,Develop regulatory frameworks,2000-2004,2000-2004,1,Asia and the Pacific,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",Efficiency productivity quality and safety across industries using nuclear technologies,1
Afghanistan,Industrial Applications/Radiation technology,Accelerator technology,Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",Efficiency productivity quality and safety across industries using nuclear technologies,1
Afghanistan,Industrial Applications/Radiation technology,Accelerator technology,Increased used of new technologies,Introduce new technologies,2000-2004,< 2000,1,Asia and the Pacific,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",Efficiency productivity quality and safety across industries using nuclear technologies,1
Afghanistan,Industrial Applications/Radiation technology,Accelerator technology,New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",Efficiency productivity quality and safety across industries using nuclear technologies,1
Afghanistan,Industrial Applications/Radiation technology,Accelerator technology,Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",Efficiency productivity quality and safety across industries using nuclear technologies,1
Afghanistan,Industrial Applications/Radiation technology,Reference products for science and trade,Adoption of regulatory frameworks,Develop regulatory frameworks,< 2000,< 2000,1,Asia and the Pacific,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,Reliabile and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,1
Afghanistan,Industrial Applications/Radiation technology,Reference products for science and trade,Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,Reliabile and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,1
Afghanistan,Industrial Applications/Radiation technology,Reference products for science and trade,Increased used of new technologies,Introduce new technologies,2000-2004,< 2000,1,Asia and the Pacific,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,Reliabile and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,1
Afghanistan,Industrial Applications/Radiation technology,Reference products for science and trade,New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,Reliabile and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,1
Afghanistan,Industrial Applications/Radiation technology,Reference products for science and trade,Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,Reliable and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,Reliabile and comparable measurement of results obtained by radioisotopes techniques and safe use of nuclear instrumentation,1
Afghanistan,Industrial Applications/Radiation technology,Research reactors,Adoption of regulatory frameworks,Develop regulatory frameworks,< 2000,< 2000,1,Asia and the Pacific,"Safe and effective utilization, operation, and maintenance of research reactors",Safe and effective utilization operation and maintenance of research reactors,1
Afghanistan,Industrial Applications/Radiation technology,Research reactors,Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,"Safe and effective utilization, operation, and maintenance of research reactors",Safe and effective utilization operation and maintenance of research reactors,1
Afghanistan,Industrial Applications/Radiation technology,Research reactors,Increased used of new technologies,Introduce new technologies,< 2000,< 2000,1,Asia and the Pacific,"Safe and effective utilization, operation, and maintenance of research reactors",Safe and effective utilization operation and maintenance of research reactors,1
Afghanistan,Industrial Applications/Radiation technology,Research reactors,New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,"Safe and effective utilization, operation, and maintenance of research reactors",Safe and effective utilization operation and maintenance of research reactors,1
Afghanistan,Industrial Applications/Radiation technology,Research reactors,Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,"Safe and effective utilization, operation, and maintenance of research reactors",Safe and effective utilization operation and maintenance of research reactors,1
Afghanistan,Water and the Environment,"Marine, terrestrial and coastal environments",Adoption of regulatory frameworks,Develop regulatory frameworks,2000-2004,< 2000,1,Asia and the Pacific,"Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",Monitoring and assessment of pollution in land air coastal ecosystems and the oceans including from plastics,1
Afghanistan,Water and the Environment,"Marine, terrestrial and coastal environments",Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,"Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",Monitoring and assessment of pollution in land air coastal ecosystems and the oceans including from plastics,1
Afghanistan,Water and the Environment,"Marine, terrestrial and coastal environments",Increased used of new technologies,Introduce new technologies,< 2000,< 2000,1,Asia and the Pacific,"Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",Monitoring and assessment of pollution in land air coastal ecosystems and the oceans including from plastics,1
Afghanistan,Water and the Environment,"Marine, terrestrial and coastal environments",New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,"Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",Monitoring and assessment of pollution in land air coastal ecosystems and the oceans including from plastics,1
Afghanistan,Water and the Environment,"Marine, terrestrial and coastal environments",Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,"Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics",Monitoring and assessment of pollution in land air coastal ecosystems and the oceans including from plastics,1
Afghanistan,Water and the Environment,Water resources management,Adoption of regulatory frameworks,Develop regulatory frameworks,< 2000,< 2000,1,Asia and the Pacific,Sustainable water resources management,Sustainable land and water management practices for agriculture and freshwater resources,1
Afghanistan,Water and the Environment,Water resources management,Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,Sustainable water resources management,Sustainable land and water management practices for agriculture and freshwater resources,1
Afghanistan,Water and the Environment,Water resources management,Increased used of new technologies,Introduce new technologies,< 2000,< 2000,1,Asia and the Pacific,Sustainable water resources management,Sustainable land and water management practices for agriculture and freshwater resources,1
Afghanistan,Water and the Environment,Water resources management,New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,Sustainable water resources management,Sustainable land and water management practices for agriculture and freshwater resources,1
Afghanistan,Water and the Environment,Water resources management,Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,Sustainable water resources management,Sustainable land and water management practices for agriculture and freshwater resources,1
Albania,Energy,Energy planning,Adoption of regulatory frameworks,Develop regulatory frameworks,2005-2009,2005-2009,1,Europe,Energy planning and inform policies to meet future energy needs,Energy planning and inform policies to meet future energy needs,1
Albania,Energy,Energy planning,Creation of new Institution,Upgraded institutions,2010-2014,N/A,1,Europe,Energy planning and inform policies to meet future energy needs,Energy planning and inform policies to meet future energy needs,0
Albania,Energy,Energy planning,Increased used of new technologies,Introduce new technologies,2000-2004,< 2000,1,Europe,Energy planning and inform policies to meet future energy needs,Energy planning and inform policies to meet future energy needs,1
Albania,Energy,Energy planning,New profession recognized,Curricula in new professions,N/A,N/A,0,Europe,Energy planning and inform policies to meet future energy needs,Energy planning and inform policies to meet future energy needs,0
Albania,Energy,Energy planning,Use of data to inform policies,Produce data to inform policies,2015-2019,N/A,1,Europe,Energy planning and inform policies to meet future energy needs,Energy planning and inform policies to meet future energy needs,0
Albania,Energy,Nuclear power reactors,Adoption of regulatory frameworks,Develop regulatory frameworks,N/A,N/A,0,Europe,Knowledge on application and development of Small Modular Reactors (SMRs),Knowledge on application and development of SMRs,0
Albania,Energy,Nuclear power reactors,Creation of new Institution,Upgraded institutions,2024 <,N/A,1,Europe,Knowledge on application and development of Small Modular Reactors (SMRs),Knowledge on application and development of SMRs,0
Albania,Energy,Nuclear power reactors,Increased used of new technologies,Introduce new technologies,N/A,N/A,0,Europe,Knowledge on application and development of Small Modular Reactors (SMRs),Knowledge on application and development of SMRs,0
Albania,Energy,Nuclear power reactors,New profession recognized,Curricula in new professions,N/A,N/A,0,Europe,Knowledge on application and development of Small Modular Reactors (SMRs),Knowledge on application and development of SMRs,0
Albania,Energy,Nuclear power reactors,Use of data to inform policies,Produce data to inform policies,2024 <,N/A,1,Europe,Knowledge on application and development of Small Modular Reactors (SMRs),Knowledge on application and development of SMRs,0
Albania,Energy,Introduction of nuclear power,Adoption of regulatory frameworks,Develop regulatory frameworks,N/A,N/A,0,Europe,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Safe introduction operation and lifetime management of nuclear power plant,0
Albania,Energy,Introduction of nuclear power,Creation of new Institution,Upgraded institutions,2024 <,2024 <,1,Europe,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Safe introduction operation and lifetime management of nuclear power plant,1
Albania,Energy,Introduction of nuclear power,Increased used of new technologies,Introduce new technologies,N/A,2024 <,0,Europe,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Safe introduction operation and lifetime management of nuclear power plant,1
Albania,Energy,Introduction of nuclear power,New profession recognized,Curricula in new professions,N/A,2024 <,0,Europe,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Safe introduction operation and lifetime management of nuclear power plant,1
Albania,Energy,Introduction of nuclear power,Use of data to inform policies,Produce data to inform policies,N/A,N/A,0,Europe,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Safe introduction operation and lifetime management of nuclear power plant,0
Albania,Food and Agriculture,Crop production,Adoption of regulatory frameworks,Develop regulatory frameworks,2015-2019,2020-2023,1,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,1
Albania,Food and Agriculture,Crop production,Creation of new Institution,Upgraded institutions,2015-2019,2015-2019,1,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,1
Albania,Food and Agriculture,Crop production,Increased used of new technologies,Introduce new technologies,2015-2019,2010-2014,1,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,1
Albania,Food and Agriculture,Crop production,New profession recognized,Curricula in new professions,N/A,N/A,0,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,0
Albania,Food and Agriculture,Crop production,Use of data to inform policies,Produce data to inform policies,N/A,2015-2019,0,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,1
Albania,Food and Agriculture,Insect pest control,Adoption of regulatory frameworks,Develop regulatory frameworks,2015-2019,2015-2019,1,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,1
Albania,Food and Agriculture,Insect pest control,Creation of new Institution,Upgraded institutions,N/A,2015-2019,0,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,1
Albania,Food and Agriculture,Insect pest control,Increased used of new technologies,Introduce new technologies,2015-2019,2015-2019,1,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,1
Albania,Food and Agriculture,Insect pest control,New profession recognized,Curricula in new professions,N/A,N/A,0,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,0
Albania,Food and Agriculture,Insect pest control,Use of data to inform policies,Produce data to inform policies,2015-2019,2015-2019,1,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,1
Albania,Food and Agriculture,Food safety,Adoption of regulatory frameworks,Develop regulatory frameworks,N/A,N/A,0,Europe,Food safety and quality control,Food safety and quality for protection of consumers,0
Albania,Food and Agriculture,Food safety,Creation of new Institution,Upgraded institutions,N/A,N/A,0,Europe,Food safety and quality control,Food safety and quality for protection of consumers,0
Albania,Food and Agriculture,Food safety,Increased used of new technologies,Introduce new technologies,N/A,N/A,0,Europe,Food safety and quality control,Food safety and quality for protection of consumers,0
Albania,Food and Agriculture,Food safety,New profession recognized,Curricula in new professions,N/A,N/A,0,Europe,Food safety and quality control,Food safety and quality for protection of consumers,0
Albania,Food and Agriculture,Food safety,Use of data to inform policies,Produce data to inform policies,N/A,2024 <,0,Europe,Food safety and quality control,Food safety and quality for protection of consumers,1
Albania,Food and Agriculture,Livestock production,Adoption of regulatory frameworks,Develop regulatory frameworks,2015-2019,N/A,1,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,0
Albania,Food and Agriculture,Livestock production,Creation of new Institution,Upgraded institutions,2015-2019,2015-2019,1,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,1
Albania,Food and Agriculture,Livestock production,Increased used of new technologies,Introduce new technologies,2015-2019,2015-2019,1,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,1
Albania,Food and Agriculture,Livestock production,New profession recognized,Curricula in new professions,N/A,N/A,0,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,0
Albania,Food and Agriculture,Livestock production,Use of data to inform policies,Produce data to inform policies,2015-2019,2015-2019,1,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,1
Albania,Food and Agriculture,Agricultural water and soil management,Adoption of regulatory frameworks,Develop regulatory frameworks,2024 <,N/A,1,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,0
Albania,Food and Agriculture,Agricultural water and soil management,Creation of new Institution,Upgraded institutions,N/A,N/A,0,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,0
Albania,Food and Agriculture,Agricultural water and soil management,Increased used of new technologies,Introduce new technologies,N/A,N/A,0,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,0
