sustain,value_sus,mechanism,region,theme,value,total,prop_sus,prop
More professionals in the workforce,0,Establish curricula in new profession,Asia and the Pacific,Energy,0,18,1,0
National programmes promoting new technology,0,Introduce new technologies,Asia and the Pacific,Energy,0,18,0.454545454545455,0.545454545454545
Procedures in alignment with international best practices,0,Improve quality of procedures,Asia and the Pacific,Energy,0,18,0.875,0.8
Safety and security issues are given high priority,0,Develop regulatory frameworks,Asia and the Pacific,Energy,0,18,,0
The support has not been consolidated yet,0,Develop new protocols,Asia and the Pacific,Energy,1,4,0,0.275862068965517
The support has not been consolidated yet,0,Improve quality of procedures,Asia and the Pacific,Energy,1,12,0.125,0.8
The support has not been consolidated yet,0,Introduce new technologies,Asia and the Pacific,Energy,1,8,0,0.545454545454545
The support has not been consolidated yet,0,Produce new data,Asia and the Pacific,Energy,1,9,0.125,0.6
The support has not been consolidated yet,0,Support professionalization,Asia and the Pacific,Energy,1,12,0,0.8
Use of Data to inform policies,1,Produce new data,Asia and the Pacific,Energy,1,18,0.625,0.6
Creation of new Institution,0,Develop new protocols,Asia and the Pacific,Food and Agriculture,0,111,0.262135922330097,0.610687022900763
Delivery of regulatory activities,0,Develop regulatory frameworks,Asia and the Pacific,Food and Agriculture,0,111,,0
Development of education programmes,0,Support professionalization,Asia and the Pacific,Food and Agriculture,1,111,0.8,0.825396825396825
Improve quality of services,0,Develop new protocols,Asia and the Pacific,Food and Agriculture,0,111,0.330097087378641,0.610687022900763
Improve technical Standards,0,Develop new protocols,Asia and the Pacific,Food and Agriculture,0,111,0.407766990291262,0.610687022900763
Increased use of a new technology,1,Introduce new technologies,Asia and the Pacific,Food and Agriculture,1,111,0.577981651376147,0.75
Join Global data Networks,0,Produce new data,Asia and the Pacific,Food and Agriculture,1,111,0.461538461538462,0.486792452830189
More professionals in the workforce,0,Establish curricula in new profession,Asia and the Pacific,Food and Agriculture,0,111,1,0.195121951219512
National programmes promoting new technology,0,Introduce new technologies,Asia and the Pacific,Food and Agriculture,1,111,0.403669724770642,0.75
Procedures in alignment with international best practices,1,Improve quality of procedures,Asia and the Pacific,Food and Agriculture,1,111,0.898305084745763,0.819148936170213
Safety and security issues are given high priority,0,Develop regulatory frameworks,Asia and the Pacific,Food and Agriculture,0,111,,0
The support has not been consolidated yet,0,Develop new protocols,Asia and the Pacific,Food and Agriculture,1,60,0,0.610687022900763
The support has not been consolidated yet,0,Establish curricula in new profession,Asia and the Pacific,Food and Agriculture,1,12,0,0.195121951219512
The support has not been consolidated yet,0,Improve quality of procedures,Asia and the Pacific,Food and Agriculture,1,77,0.101694915254237,0.819148936170213
The support has not been consolidated yet,0,Introduce new technologies,Asia and the Pacific,Food and Agriculture,1,74,0.018348623853211,0.75
The support has not been consolidated yet,0,Produce new data,Asia and the Pacific,Food and Agriculture,1,43,0.0256410256410256,0.486792452830189
The support has not been consolidated yet,0,Support professionalization,Asia and the Pacific,Food and Agriculture,1,78,0.2,0.825396825396825
Use of Data to inform policies,0,Produce new data,Asia and the Pacific,Food and Agriculture,1,111,0.512820512820513,0.486792452830189
Creation of new Institution,0,Develop new protocols,Asia and the Pacific,Health and Nutrition,1,121,0.125,0.607476635514019
Delivery of regulatory activities,0,Develop regulatory frameworks,Asia and the Pacific,Health and Nutrition,0,121,,0
Development of education programmes,1,Support professionalization,Asia and the Pacific,Health and Nutrition,1,121,0.91044776119403,0.858490566037736
Improve quality of services,1,Develop new protocols,Asia and the Pacific,Health and Nutrition,1,121,0.451923076923077,0.607476635514019
Improve technical Standards,0,Develop new protocols,Asia and the Pacific,Health and Nutrition,1,121,0.403846153846154,0.607476635514019
Increased use of a new technology,1,Introduce new technologies,Asia and the Pacific,Health and Nutrition,1,121,0.567010309278351,0.665594855305466
Join Global data Networks,0,Produce new data,Asia and the Pacific,Health and Nutrition,0,121,0.5,0.379061371841155
More professionals in the workforce,0,Establish curricula in new profession,Asia and the Pacific,Health and Nutrition,0,121,0.962962962962963,0.220588235294118
National programmes promoting new technology,0,Introduce new technologies,Asia and the Pacific,Health and Nutrition,1,121,0.412371134020619,0.665594855305466
Procedures in alignment with international best practices,1,Improve quality of procedures,Asia and the Pacific,Health and Nutrition,1,121,0.948051948051948,0.847619047619048
Safety and security issues are given high priority,0,Develop regulatory frameworks,Asia and the Pacific,Health and Nutrition,0,121,,0
The support has not been consolidated yet,0,Develop new protocols,Asia and the Pacific,Health and Nutrition,1,65,0.0192307692307692,0.607476635514019
The support has not been consolidated yet,0,Establish curricula in new profession,Asia and the Pacific,Health and Nutrition,1,15,0.037037037037037,0.220588235294118
The support has not been consolidated yet,0,Improve quality of procedures,Asia and the Pacific,Health and Nutrition,1,89,0.051948051948052,0.847619047619048
The support has not been consolidated yet,0,Introduce new technologies,Asia and the Pacific,Health and Nutrition,1,69,0.0206185567010309,0.665594855305466
The support has not been consolidated yet,0,Produce new data,Asia and the Pacific,Health and Nutrition,1,35,0.0625,0.379061371841155
The support has not been consolidated yet,0,Support professionalization,Asia and the Pacific,Health and Nutrition,1,91,0.0895522388059701,0.858490566037736
Use of Data to inform policies,0,Produce new data,Asia and the Pacific,Health and Nutrition,0,121,0.4375,0.379061371841155
Creation of new Institution,0,Develop new protocols,Asia and the Pacific,Industrial Applications/Radiation technology,0,77,0.297297297297297,0.552238805970149
Delivery of regulatory activities,0,Develop regulatory frameworks,Asia and the Pacific,Industrial Applications/Radiation technology,0,77,,0
Development of education programmes,0,Support professionalization,Asia and the Pacific,Industrial Applications/Radiation technology,0,77,0.973684210526316,0.859259259259259
Improve quality of services,0,Develop new protocols,Asia and the Pacific,Industrial Applications/Radiation technology,0,77,0.391891891891892,0.552238805970149
Improve technical Standards,0,Develop new protocols,Asia and the Pacific,Industrial Applications/Radiation technology,0,77,0.297297297297297,0.552238805970149
Increased use of a new technology,0,Introduce new technologies,Asia and the Pacific,Industrial Applications/Radiation technology,0,77,0.573529411764706,0.654822335025381
Join Global data Networks,0,Produce new data,Asia and the Pacific,Industrial Applications/Radiation technology,0,77,0.391304347826087,0.542553191489362
More professionals in the workforce,0,Establish curricula in new profession,Asia and the Pacific,Industrial Applications/Radiation technology,0,77,0.956521739130435,0.269662921348315
National programmes promoting new technology,0,Introduce new technologies,Asia and the Pacific,Industrial Applications/Radiation technology,0,77,0.411764705882353,0.654822335025381
Procedures in alignment with international best practices,0,Improve quality of procedures,Asia and the Pacific,Industrial Applications/Radiation technology,1,77,0.916666666666667,0.842105263157895
Safety and security issues are given high priority,0,Develop regulatory frameworks,Asia and the Pacific,Industrial Applications/Radiation technology,0,77,,0
The support has not been consolidated yet,0,Develop new protocols,Asia and the Pacific,Industrial Applications/Radiation technology,1,37,0.0135135135135135,0.552238805970149
The support has not been consolidated yet,0,Establish curricula in new profession,Asia and the Pacific,Industrial Applications/Radiation technology,1,12,0.0434782608695652,0.269662921348315
The support has not been consolidated yet,1,Improve quality of procedures,Asia and the Pacific,Industrial Applications/Radiation technology,1,56,0.0833333333333333,0.842105263157895
The support has not been consolidated yet,0,Introduce new technologies,Asia and the Pacific,Industrial Applications/Radiation technology,1,43,0.0147058823529412,0.654822335025381
The support has not been consolidated yet,0,Produce new data,Asia and the Pacific,Industrial Applications/Radiation technology,1,34,0.0434782608695652,0.542553191489362
The support has not been consolidated yet,0,Support professionalization,Asia and the Pacific,Industrial Applications/Radiation technology,1,58,0.0263157894736842,0.859259259259259
Use of Data to inform policies,0,Produce new data,Asia and the Pacific,Industrial Applications/Radiation technology,0,77,0.565217391304348,0.542553191489362
Creation of new Institution,1,Develop new protocols,Asia and the Pacific,Safety and Security,0,122,0.25,0.611111111111111
Delivery of regulatory activities,1,Develop regulatory frameworks,Asia and the Pacific,Safety and Security,1,122,0.486486486486487,0.801801801801802
Development of education programmes,0,Support professionalization,Asia and the Pacific,Safety and Security,1,122,0.844827586206897,0.87037037037037
Improve quality of services,0,Develop new protocols,Asia and the Pacific,Safety and Security,0,122,0.330357142857143,0.611111111111111
Improve technical Standards,0,Develop new protocols,Asia and the Pacific,Safety and Security,0,122,0.375,0.611111111111111
Increased use of a new technology,1,Introduce new technologies,Asia and the Pacific,Safety and Security,1,122,0.493827160493827,0.623376623376623
Join Global data Networks,0,Produce new data,Asia and the Pacific,Safety and Security,0,122,0.377049180327869,0.527027027027027
More professionals in the workforce,0,Establish curricula in new profession,Asia and the Pacific,Safety and Security,0,122,0.846153846153846,0.328767123287671
National programmes promoting new technology,0,Introduce new technologies,Asia and the Pacific,Safety and Security,1,122,0.432098765432099,0.623376623376623
Procedures in alignment with international best practices,0,Improve quality of procedures,Asia and the Pacific,Safety and Security,1,122,0.9,0.85981308411215
Safety and security issues are given high priority,1,Develop regulatory frameworks,Asia and the Pacific,Safety and Security,1,122,0.472972972972973,0.801801801801802
The support has not been consolidated yet,0,Develop new protocols,Asia and the Pacific,Safety and Security,1,66,0.0446428571428571,0.611111111111111
The support has not been consolidated yet,0,Develop regulatory frameworks,Asia and the Pacific,Safety and Security,1,89,0.0405405405405405,0.801801801801802
The support has not been consolidated yet,0,Establish curricula in new profession,Asia and the Pacific,Safety and Security,1,24,0.153846153846154,0.328767123287671
The support has not been consolidated yet,0,Improve quality of procedures,Asia and the Pacific,Safety and Security,1,92,0.1,0.85981308411215
The support has not been consolidated yet,0,Introduce new technologies,Asia and the Pacific,Safety and Security,1,64,0.0740740740740741,0.623376623376623
The support has not been consolidated yet,0,Produce new data,Asia and the Pacific,Safety and Security,1,52,0.0983606557377049,0.527027027027027
The support has not been consolidated yet,0,Support professionalization,Asia and the Pacific,Safety and Security,1,94,0.155172413793103,0.87037037037037
Use of Data to inform policies,0,Produce new data,Asia and the Pacific,Safety and Security,0,122,0.524590163934426,0.527027027027027
Creation of new Institution,0,Develop new protocols,Asia and the Pacific,Water and the Environment,0,44,0.297297297297297,0.571428571428571
Delivery of regulatory activities,0,Develop regulatory frameworks,Asia and the Pacific,Water and the Environment,0,44,,0
Development of education programmes,0,Support professionalization,Asia and the Pacific,Water and the Environment,0,44,0.692307692307692,0.810810810810811
Improve quality of services,0,Develop new protocols,Asia and the Pacific,Water and the Environment,0,44,0.324324324324324,0.571428571428571
Improve technical Standards,0,Develop new protocols,Asia and the Pacific,Water and the Environment,0,44,0.378378378378378,0.571428571428571
Increased use of a new technology,0,Introduce new technologies,Asia and the Pacific,Water and the Environment,0,44,0.551020408163265,0.781512605042017
Join Global data Networks,0,Produce new data,Asia and the Pacific,Water and the Environment,0,44,0.333333333333333,0.555555555555556
More professionals in the workforce,1,Establish curricula in new profession,Asia and the Pacific,Water and the Environment,0,44,0.923076923076923,0.339622641509434
National programmes promoting new technology,0,Introduce new technologies,Asia and the Pacific,Water and the Environment,0,44,0.428571428571429,0.781512605042017
Procedures in alignment with international best practices,0,Improve quality of procedures,Asia and the Pacific,Water and the Environment,0,44,0.842105263157895,0.742857142857143
Safety and security issues are given high priority,0,Develop regulatory frameworks,Asia and the Pacific,Water and the Environment,0,44,,0
The support has not been consolidated yet,0,Develop new protocols,Asia and the Pacific,Water and the Environment,1,22,0,0.571428571428571
The support has not been consolidated yet,1,Establish curricula in new profession,Asia and the Pacific,Water and the Environment,1,9,0.0769230769230769,0.339622641509434
The support has not been consolidated yet,0,Improve quality of procedures,Asia and the Pacific,Water and the Environment,1,26,0.157894736842105,0.742857142857143
The support has not been consolidated yet,0,Introduce new technologies,Asia and the Pacific,Water and the Environment,1,31,0.0204081632653061,0.781512605042017
The support has not been consolidated yet,0,Produce new data,Asia and the Pacific,Water and the Environment,1,20,0.0476190476190476,0.555555555555556
The support has not been consolidated yet,1,Support professionalization,Asia and the Pacific,Water and the Environment,1,30,0.307692307692308,0.810810810810811
Use of Data to inform policies,0,Produce new data,Asia and the Pacific,Water and the Environment,0,44,0.619047619047619,0.555555555555556
Creation of new Institution,0,Develop new protocols,Europe,Energy,1,26,0.111111111111111,0.533333333333333
Delivery of regulatory activities,0,Develop regulatory frameworks,Europe,Energy,0,26,,0
Development of education programmes,0,Support professionalization,Europe,Energy,1,26,0.875,0.844444444444445
Improve quality of services,1,Develop new protocols,Europe,Energy,1,26,0.555555555555556,0.533333333333333
Improve technical Standards,0,Develop new protocols,Europe,Energy,1,26,0.333333333333333,0.533333333333333
Increased use of a new technology,0,Introduce new technologies,Europe,Energy,0,26,0.473684210526316,0.6
Join Global data Networks,0,Produce new data,Europe,Energy,0,26,0.25,0.739130434782609
More professionals in the workforce,0,Establish curricula in new profession,Europe,Energy,0,26,1,0.375
National programmes promoting new technology,0,Introduce new technologies,Europe,Energy,0,26,0.473684210526316,0.6
Procedures in alignment with international best practices,0,Improve quality of procedures,Europe,Energy,1,26,1,0.7
Safety and security issues are given high priority,0,Develop regulatory frameworks,Europe,Energy,0,26,,0
The support has not been consolidated yet,0,Develop new protocols,Europe,Energy,1,12,0,0.533333333333333
The support has not been consolidated yet,0,Establish curricula in new profession,Europe,Energy,1,6,0,0.375
The support has not been consolidated yet,0,Improve quality of procedures,Europe,Energy,1,14,0,0.7
The support has not been consolidated yet,0,Introduce new technologies,Europe,Energy,1,13,0.0526315789473684,0.6
The support has not been consolidated yet,0,Produce new data,Europe,Energy,1,17,0.125,0.739130434782609
The support has not been consolidated yet,0,Support professionalization,Europe,Energy,1,19,0.125,0.844444444444445
Use of Data to inform policies,0,Produce new data,Europe,Energy,0,26,0.625,0.739130434782609
Creation of new Institution,0,Develop new protocols,Europe,Food and Agriculture,1,40,0.195652173913043,0.666666666666667
Delivery of regulatory activities,0,Develop regulatory frameworks,Europe,Food and Agriculture,0,40,,0
Development of education programmes,0,Support professionalization,Europe,Food and Agriculture,1,40,0.909090909090909,0.688524590163934
Improve quality of services,1,Develop new protocols,Europe,Food and Agriculture,1,40,0.391304347826087,0.666666666666667
Improve technical Standards,1,Develop new protocols,Europe,Food and Agriculture,1,40,0.41304347826087,0.666666666666667
Increased use of a new technology,1,Introduce new technologies,Europe,Food and Agriculture,1,40,0.611111111111111,0.777777777777778
Join Global data Networks,0,Produce new data,Europe,Food and Agriculture,0,40,0.384615384615385,0.446808510638298
More professionals in the workforce,0,Establish curricula in new profession,Europe,Food and Agriculture,0,40,1,0.260869565217391
National programmes promoting new technology,0,Introduce new technologies,Europe,Food and Agriculture,1,40,0.388888888888889,0.777777777777778
Procedures in alignment with international best practices,0,Improve quality of procedures,Europe,Food and Agriculture,0,40,1,0.709677419354839
Safety and security issues are given high priority,0,Develop regulatory frameworks,Europe,Food and Agriculture,0,40,,0
The support has not been consolidated yet,0,Develop new protocols,Europe,Food and Agriculture,1,24,0,0.666666666666667
The support has not been consolidated yet,0,Establish curricula in new profession,Europe,Food and Agriculture,1,6,0,0.260869565217391
The support has not been consolidated yet,0,Improve quality of procedures,Europe,Food and Agriculture,1,22,0,0.709677419354839
The support has not been consolidated yet,0,Introduce new technologies,Europe,Food and Agriculture,1,28,0,0.777777777777778
The support has not been consolidated yet,0,Produce new data,Europe,Food and Agriculture,1,14,0,0.446808510638298
The support has not been consolidated yet,0,Support professionalization,Europe,Food and Agriculture,1,21,0.0909090909090909,0.688524590163934
Use of Data to inform policies,0,Produce new data,Europe,Food and Agriculture,0,40,0.615384615384615,0.446808510638298
Creation of new Institution,0,Develop new protocols,Europe,Health and Nutrition,1,89,0.16304347826087,0.6625
Delivery of regulatory activities,0,Develop regulatory frameworks,Europe,Health and Nutrition,0,89,,0
Development of education programmes,0,Support professionalization,Europe,Health and Nutrition,0,89,0.86046511627907,0.901234567901234
Improve quality of services,0,Develop new protocols,Europe,Health and Nutrition,1,89,0.423913043478261,0.6625
Improve technical Standards,1,Develop new protocols,Europe,Health and Nutrition,1,89,0.402173913043478,0.6625
Increased use of a new technology,0,Introduce new technologies,Europe,Health and Nutrition,0,89,0.647887323943662,0.717948717948718
