id,country,theme,foa,when,achieved,level,indicator,region,improvement,foa_nlo1_effectiveness,id_outcome
A21,Afghanistan,FOOD and AGRICULTURE,Agricultural water and soil management,< 2000,1,outcome,Adoption of regulatory frameworks,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Develop regulatory frameworks
A21,Afghanistan,FOOD and AGRICULTURE,Agricultural water and soil management,< 2000,1,int_outcome,Develop regulatory frameworks,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Develop regulatory frameworks
A22,Afghanistan,FOOD and AGRICULTURE,Agricultural water and soil management,< 2000,1,outcome,Creation of new Institution,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Upgraded institutions
A22,Afghanistan,FOOD and AGRICULTURE,Agricultural water and soil management,< 2000,1,int_outcome,Upgraded institutions,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Upgraded institutions
A23,Afghanistan,FOOD and AGRICULTURE,Agricultural water and soil management,< 2000,1,outcome,Increased used of new technologies,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Introduce new technologies
A23,Afghanistan,FOOD and AGRICULTURE,Agricultural water and soil management,< 2000,1,int_outcome,Introduce new technologies,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Introduce new technologies
A24,Afghanistan,FOOD and AGRICULTURE,Agricultural water and soil management,< 2000,1,outcome,New profession recognized,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Curricula in new professions
A24,Afghanistan,FOOD and AGRICULTURE,Agricultural water and soil management,< 2000,1,int_outcome,Curricula in new professions,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Curricula in new professions
A25,Afghanistan,FOOD and AGRICULTURE,Agricultural water and soil management,< 2000,1,outcome,Use of data to inform policies,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Produce data to inform policies
A25,Afghanistan,FOOD and AGRICULTURE,Agricultural water and soil management,< 2000,1,int_outcome,Produce data to inform policies,Asia and the Pacific,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Produce data to inform policies
A26,Albania,FOOD and AGRICULTURE,Crop production,2015-2019,1,outcome,Adoption of regulatory frameworks,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Develop regulatory frameworks
A26,Albania,FOOD and AGRICULTURE,Crop production,2020-2023,1,int_outcome,Develop regulatory frameworks,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Develop regulatory frameworks
A27,Albania,FOOD and AGRICULTURE,Crop production,2015-2019,1,outcome,Creation of new Institution,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Upgraded institutions
A27,Albania,FOOD and AGRICULTURE,Crop production,2015-2019,1,int_outcome,Upgraded institutions,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Upgraded institutions
A28,Albania,FOOD and AGRICULTURE,Crop production,2015-2019,1,outcome,Increased used of new technologies,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Introduce new technologies
A28,Albania,FOOD and AGRICULTURE,Crop production,2010-2014,1,int_outcome,Introduce new technologies,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Introduce new technologies
A29,Albania,FOOD and AGRICULTURE,Crop production,N/A,0,outcome,New profession recognized,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Curricula in new professions
A29,Albania,FOOD and AGRICULTURE,Crop production,N/A,0,int_outcome,Curricula in new professions,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Curricula in new professions
A30,Albania,FOOD and AGRICULTURE,Crop production,N/A,0,outcome,Use of data to inform policies,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Produce data to inform policies
A30,Albania,FOOD and AGRICULTURE,Crop production,2015-2019,1,int_outcome,Produce data to inform policies,Europe,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Produce data to inform policies
A31,Albania,FOOD and AGRICULTURE,Insect pest control,2015-2019,1,outcome,Adoption of regulatory frameworks,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Develop regulatory frameworks
A31,Albania,FOOD and AGRICULTURE,Insect pest control,2015-2019,1,int_outcome,Develop regulatory frameworks,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Develop regulatory frameworks
A32,Albania,FOOD and AGRICULTURE,Insect pest control,N/A,0,outcome,Creation of new Institution,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Upgraded institutions
A32,Albania,FOOD and AGRICULTURE,Insect pest control,2015-2019,1,int_outcome,Upgraded institutions,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Upgraded institutions
A33,Albania,FOOD and AGRICULTURE,Insect pest control,2015-2019,1,outcome,Increased used of new technologies,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Introduce new technologies
A33,Albania,FOOD and AGRICULTURE,Insect pest control,2015-2019,1,int_outcome,Introduce new technologies,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Introduce new technologies
A34,Albania,FOOD and AGRICULTURE,Insect pest control,N/A,0,outcome,New profession recognized,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Curricula in new professions
A34,Albania,FOOD and AGRICULTURE,Insect pest control,N/A,0,int_outcome,Curricula in new professions,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Curricula in new professions
A35,Albania,FOOD and AGRICULTURE,Insect pest control,2015-2019,1,outcome,Use of data to inform policies,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Produce data to inform policies
A35,Albania,FOOD and AGRICULTURE,Insect pest control,2015-2019,1,int_outcome,Produce data to inform policies,Europe,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Produce data to inform policies
A36,Albania,FOOD and AGRICULTURE,Food safety,N/A,0,outcome,Adoption of regulatory frameworks,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Develop regulatory frameworks
A36,Albania,FOOD and AGRICULTURE,Food safety,N/A,0,int_outcome,Develop regulatory frameworks,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Develop regulatory frameworks
A37,Albania,FOOD and AGRICULTURE,Food safety,N/A,0,outcome,Creation of new Institution,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Upgraded institutions
A37,Albania,FOOD and AGRICULTURE,Food safety,N/A,0,int_outcome,Upgraded institutions,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Upgraded institutions
A38,Albania,FOOD and AGRICULTURE,Food safety,N/A,0,outcome,Increased used of new technologies,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Introduce new technologies
A38,Albania,FOOD and AGRICULTURE,Food safety,N/A,0,int_outcome,Introduce new technologies,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Introduce new technologies
A39,Albania,FOOD and AGRICULTURE,Food safety,N/A,0,outcome,New profession recognized,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Curricula in new professions
A39,Albania,FOOD and AGRICULTURE,Food safety,N/A,0,int_outcome,Curricula in new professions,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Curricula in new professions
A40,Albania,FOOD and AGRICULTURE,Food safety,N/A,0,outcome,Use of data to inform policies,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Produce data to inform policies
A40,Albania,FOOD and AGRICULTURE,Food safety,2024 <,1,int_outcome,Produce data to inform policies,Europe,Food safety and quality control,Food safety and quality for protection of consumers,Produce data to inform policies
A41,Albania,FOOD and AGRICULTURE,Livestock production,2015-2019,1,outcome,Adoption of regulatory frameworks,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Develop regulatory frameworks
A41,Albania,FOOD and AGRICULTURE,Livestock production,N/A,0,int_outcome,Develop regulatory frameworks,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Develop regulatory frameworks
A42,Albania,FOOD and AGRICULTURE,Livestock production,2015-2019,1,outcome,Creation of new Institution,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Upgraded institutions
A42,Albania,FOOD and AGRICULTURE,Livestock production,2015-2019,1,int_outcome,Upgraded institutions,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Upgraded institutions
A43,Albania,FOOD and AGRICULTURE,Livestock production,2015-2019,1,outcome,Increased used of new technologies,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Introduce new technologies
A43,Albania,FOOD and AGRICULTURE,Livestock production,2015-2019,1,int_outcome,Introduce new technologies,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Introduce new technologies
A44,Albania,FOOD and AGRICULTURE,Livestock production,N/A,0,outcome,New profession recognized,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Curricula in new professions
A44,Albania,FOOD and AGRICULTURE,Livestock production,N/A,0,int_outcome,Curricula in new professions,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Curricula in new professions
A45,Albania,FOOD and AGRICULTURE,Livestock production,2015-2019,1,outcome,Use of data to inform policies,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Produce data to inform policies
A45,Albania,FOOD and AGRICULTURE,Livestock production,2015-2019,1,int_outcome,Produce data to inform policies,Europe,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Produce data to inform policies
A46,Albania,FOOD and AGRICULTURE,Agricultural water and soil management,2024 <,1,outcome,Adoption of regulatory frameworks,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Develop regulatory frameworks
A46,Albania,FOOD and AGRICULTURE,Agricultural water and soil management,N/A,0,int_outcome,Develop regulatory frameworks,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Develop regulatory frameworks
A47,Albania,FOOD and AGRICULTURE,Agricultural water and soil management,N/A,0,outcome,Creation of new Institution,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Upgraded institutions
A47,Albania,FOOD and AGRICULTURE,Agricultural water and soil management,N/A,0,int_outcome,Upgraded institutions,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Upgraded institutions
A48,Albania,FOOD and AGRICULTURE,Agricultural water and soil management,N/A,0,outcome,Increased used of new technologies,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Introduce new technologies
A48,Albania,FOOD and AGRICULTURE,Agricultural water and soil management,N/A,0,int_outcome,Introduce new technologies,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Introduce new technologies
A49,Albania,FOOD and AGRICULTURE,Agricultural water and soil management,N/A,0,outcome,New profession recognized,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Curricula in new professions
A49,Albania,FOOD and AGRICULTURE,Agricultural water and soil management,N/A,0,int_outcome,Curricula in new professions,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Curricula in new professions
A50,Albania,FOOD and AGRICULTURE,Agricultural water and soil management,2020-2023,1,outcome,Use of data to inform policies,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Produce data to inform policies
A50,Albania,FOOD and AGRICULTURE,Agricultural water and soil management,2024 <,1,int_outcome,Produce data to inform policies,Europe,"Sustainable, soil and water management practices for agriculture",Agricultural soil water and crop nutrition management,Produce data to inform policies
A51,Angola,FOOD and AGRICULTURE,Crop production,,0,outcome,Adoption of regulatory frameworks,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Develop regulatory frameworks
A51,Angola,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Develop regulatory frameworks,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Develop regulatory frameworks
A52,Angola,FOOD and AGRICULTURE,Crop production,,0,outcome,Creation of new Institution,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Upgraded institutions
A52,Angola,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Upgraded institutions,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Upgraded institutions
A53,Angola,FOOD and AGRICULTURE,Crop production,,0,outcome,Increased used of new technologies,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Introduce new technologies
A53,Angola,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Introduce new technologies,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Introduce new technologies
A54,Angola,FOOD and AGRICULTURE,Crop production,,0,outcome,New profession recognized,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Curricula in new professions
A54,Angola,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Curricula in new professions,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Curricula in new professions
A55,Angola,FOOD and AGRICULTURE,Crop production,,0,outcome,Use of data to inform policies,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Produce data to inform policies
A55,Angola,FOOD and AGRICULTURE,Crop production,,0,int_outcome,Produce data to inform policies,Africa,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Produce data to inform policies
A56,Angola,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Adoption of regulatory frameworks,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Develop regulatory frameworks
A56,Angola,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Develop regulatory frameworks,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Develop regulatory frameworks
A57,Angola,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Creation of new Institution,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Upgraded institutions
A57,Angola,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Upgraded institutions,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Upgraded institutions
A58,Angola,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Increased used of new technologies,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Introduce new technologies
A58,Angola,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Introduce new technologies,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Introduce new technologies
A59,Angola,FOOD and AGRICULTURE,Insect pest control,,0,outcome,New profession recognized,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Curricula in new professions
A59,Angola,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Curricula in new professions,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Curricula in new professions
A60,Angola,FOOD and AGRICULTURE,Insect pest control,,0,outcome,Use of data to inform policies,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Produce data to inform policies
A60,Angola,FOOD and AGRICULTURE,Insect pest control,,0,int_outcome,Produce data to inform policies,Africa,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Produce data to inform policies
A61,Angola,FOOD and AGRICULTURE,Food safety,,0,outcome,Adoption of regulatory frameworks,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Develop regulatory frameworks
A61,Angola,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Develop regulatory frameworks,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Develop regulatory frameworks
A62,Angola,FOOD and AGRICULTURE,Food safety,,0,outcome,Creation of new Institution,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Upgraded institutions
A62,Angola,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Upgraded institutions,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Upgraded institutions
A63,Angola,FOOD and AGRICULTURE,Food safety,,0,outcome,Increased used of new technologies,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Introduce new technologies
A63,Angola,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Introduce new technologies,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Introduce new technologies
A64,Angola,FOOD and AGRICULTURE,Food safety,,0,outcome,New profession recognized,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Curricula in new professions
A64,Angola,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Curricula in new professions,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Curricula in new professions
A65,Angola,FOOD and AGRICULTURE,Food safety,,0,outcome,Use of data to inform policies,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Produce data to inform policies
A65,Angola,FOOD and AGRICULTURE,Food safety,,0,int_outcome,Produce data to inform policies,Africa,Food safety and quality control,Food safety and quality for protection of consumers,Produce data to inform policies
A66,Angola,FOOD and AGRICULTURE,Livestock production,,0,outcome,Adoption of regulatory frameworks,Africa,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Develop regulatory frameworks
A66,Angola,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Develop regulatory frameworks,Africa,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Develop regulatory frameworks
A67,Angola,FOOD and AGRICULTURE,Livestock production,,0,outcome,Creation of new Institution,Africa,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Upgraded institutions
A67,Angola,FOOD and AGRICULTURE,Livestock production,,0,int_outcome,Upgraded institutions,Africa,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Upgraded institutions
